LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
162:	learn: 0.9146410	test: 0.8516723	best: 0.8526047 (161)	total: 2.92s	remaining: 15s
163:	learn: 0.9145788	test: 0.8521074	best: 0.8526047 (161)	total: 2.94s	remaining: 15s
164:	learn: 0.9150762	test: 0.8519209	best: 0.8526047 (161)	total: 2.95s	remaining: 14.9s
165:	learn: 0.9147964	test: 0.8518588	best: 0.8526047 (161)	total: 2.97s	remaining: 14.9s
166:	learn: 0.9153248	test: 0.8519209	best: 0.8526047 (161)	total: 2.98s	remaining: 14.9s
167:	learn: 0.9154181	test: 0.8519209	best: 0.8526047 (161)	total: 3s	remaining: 14.9s
168:	learn: 0.9157134	test: 0.8523561	best: 0.8526047 (161)	total: 3.02s	remaining: 14.9s
169:	learn: 0.9160709	test: 0.8525426	best: 0.8526047 (161)	total: 3.04s	remaining: 14.8s
170:	learn: 0.9163040	test: 0.8526669	best: 0.8526669 (170)	total: 3.05s	remaining: 14.8s
171:	learn: 0.9165682	test: 0.8520453	best: 0.8526669 (170)	total: 3.07s	remaining: 14.8s
172:	learn: 0.9168169	test: 0.8520453	best: 0.8526669 (170)	total: 3.09s	remaining: 14.8s
173:	learn: 0.9177184	test: 0.8522939	best: 0.8526669 (170)	total: 3.11s	remaining: 14.7s
174:	learn: 0.9178272	test: 0.8528534	best: 0.8528534 (174)	total: 3.12s	remaining: 14.7s
175:	learn: 0.9181846	test: 0.8530399	best: 0.8530399 (175)	total: 3.14s	remaining: 14.7s
176:	learn: 0.9185732	test: 0.8529156	best: 0.8530399 (175)	total: 3.16s	remaining: 14.7s
177:	learn: 0.9188530	test: 0.8535994	best: 0.8535994 (177)	total: 3.17s	remaining: 14.7s
178:	learn: 0.9190550	test: 0.8539102	best: 0.8539102 (178)	total: 3.19s	remaining: 14.6s
179:	learn: 0.9195213	test: 0.8535372	best: 0.8539102 (178)	total: 3.21s	remaining: 14.6s
180:	learn: 0.9202829	test: 0.8538481	best: 0.8539102 (178)	total: 3.23s	remaining: 14.6s
181:	learn: 0.9206093	test: 0.8540346	best: 0.8540346 (181)	total: 3.24s	remaining: 14.6s
182:	learn: 0.9209201	test: 0.8537859	best: 0.8540346 (181)	total: 3.26s	remaining: 14.6s
183:	learn: 0.9214486	test: 0.8536616	best: 0.8540346 (181)	total: 3.28s	remaining: 14.5s
184:	learn: 0.9216506	test: 0.8539724	best: 0.8540346 (181)	total: 3.3s	remaining: 14.5s
185:	learn: 0.9220392	test: 0.8534129	best: 0.8540346 (181)	total: 3.31s	remaining: 14.5s
186:	learn: 0.9222412	test: 0.8534129	best: 0.8540346 (181)	total: 3.33s	remaining: 14.5s
187:	learn: 0.9225521	test: 0.8537859	best: 0.8540346 (181)	total: 3.35s	remaining: 14.5s
188:	learn: 0.9226298	test: 0.8541589	best: 0.8541589 (188)	total: 3.37s	remaining: 14.4s
189:	learn: 0.9227230	test: 0.8536616	best: 0.8541589 (188)	total: 3.38s	remaining: 14.4s
190:	learn: 0.9231271	test: 0.8544697	best: 0.8544697 (190)	total: 3.4s	remaining: 14.4s
191:	learn: 0.9233914	test: 0.8541589	best: 0.8544697 (190)	total: 3.41s	remaining: 14.4s
192:	learn: 0.9232826	test: 0.8547184	best: 0.8547184 (192)	total: 3.43s	remaining: 14.3s
193:	learn: 0.9238887	test: 0.8554644	best: 0.8554644 (193)	total: 3.45s	remaining: 14.3s
194:	learn: 0.9242462	test: 0.8552157	best: 0.8554644 (193)	total: 3.46s	remaining: 14.3s
195:	learn: 0.9243239	test: 0.8556509	best: 0.8556509 (195)	total: 3.48s	remaining: 14.3s
196:	learn: 0.9245260	test: 0.8552157	best: 0.8556509 (195)	total: 3.49s	remaining: 14.2s
197:	learn: 0.9246503	test: 0.8549671	best: 0.8556509 (195)	total: 3.51s	remaining: 14.2s
198:	learn: 0.9249456	test: 0.8550292	best: 0.8556509 (195)	total: 3.53s	remaining: 14.2s
199:	learn: 0.9259248	test: 0.8562104	best: 0.8562104 (199)	total: 3.55s	remaining: 14.2s
200:	learn: 0.9259559	test: 0.8561482	best: 0.8562104 (199)	total: 3.56s	remaining: 14.2s
201:	learn: 0.9260336	test: 0.8558374	best: 0.8562104 (199)	total: 3.58s	remaining: 14.1s
202:	learn: 0.9262512	test: 0.8558995	best: 0.8562104 (199)	total: 3.59s	remaining: 14.1s
203:	learn: 0.9265776	test: 0.8561482	best: 0.8562104 (199)	total: 3.61s	remaining: 14.1s
204:	learn: 0.9267019	test: 0.8563969	best: 0.8563969 (204)	total: 3.63s	remaining: 14.1s
205:	learn: 0.9269506	test: 0.8565834	best: 0.8565834 (205)	total: 3.64s	remaining: 14s
206:	learn: 0.9271371	test: 0.8568942	best: 0.8568942 (206)	total: 3.66s	remaining: 14s
207:	learn: 0.9273081	test: 0.8567699	best: 0.8568942 (206)	total: 3.68s	remaining: 14s
208:	learn: 0.9281007	test: 0.8565212	best: 0.8568942 (206)	total: 3.69s	remaining: 14s
209:	learn: 0.9281007	test: 0.8566455	best: 0.8568942 (206)	total: 3.71s	remaining: 14s
210:	learn: 0.9282406	test: 0.8567699	best: 0.8568942 (206)	total: 3.73s	remaining: 13.9s
211:	learn: 0.9283805	test: 0.8573915	best: 0.8573915 (211)	total: 3.74s	remaining: 13.9s
212:	learn: 0.9286292	test: 0.8578267	best: 0.8578267 (212)	total: 3.76s	remaining: 13.9s
213:	learn: 0.9290333	test: 0.8569564	best: 0.8578267 (212)	total: 3.78s	remaining: 13.9s
214:	learn: 0.9291576	test: 0.8572050	best: 0.8578267 (212)	total: 3.79s	remaining: 13.9s
215:	learn: 0.9292509	test: 0.8575159	best: 0.8578267 (212)	total: 3.81s	remaining: 13.8s
216:	learn: 0.9296239	test: 0.8572672	best: 0.8578267 (212)	total: 3.83s	remaining: 13.8s
217:	learn: 0.9299813	test: 0.8566455	best: 0.8578267 (212)	total: 3.85s	remaining: 13.8s
218:	learn: 0.9300435	test: 0.8567699	best: 0.8578267 (212)	total: 3.86s	remaining: 13.8s
219:	learn: 0.9301679	test: 0.8572672	best: 0.8578267 (212)	total: 3.88s	remaining: 13.7s
220:	learn: 0.9305720	test: 0.8566455	best: 0.8578267 (212)	total: 3.9s	remaining: 13.7s
221:	learn: 0.9307429	test: 0.8568320	best: 0.8578267 (212)	total: 3.91s	remaining: 13.7s
222:	learn: 0.9308984	test: 0.8572672	best: 0.8578267 (212)	total: 3.93s	remaining: 13.7s
223:	learn: 0.9311470	test: 0.8575159	best: 0.8578267 (212)	total: 3.94s	remaining: 13.7s
